VERB,Frequency,POSITIVE,NEGATIVE,NEUTRAL,NONE,DEPEND,notes
accelerate,1,1,0,0,0,0,
access,1,1,0,0,0,0,
account,3,0,0,1,0,0,
achieve,1,1,0,0,0,0,
acquire,1,0,0,0,1,0,
act,1,0,0,1,0,0,
adapt,6,1,0,0,0,0,
add,2,0,0,1,0,0,
address,1,0,0,1,0,0,
adjust,3,0,0,1,0,0,
adopt,6,1,0,0,0,0,
adopt,46,0,0,0,1,0,
advance,6,1,0,0,0,0,
affect,9,0,0,0,0,1,positiv[a-z]*|negativ[a-z]*
aid,6,1,0,0,0,0,
align,2,0,0,0,1,0,
alleviate,2,1,0,0,0,0,
allow,1,1,0,0,0,0,
ally,1,0,0,0,1,0,
alter,1,0,0,1,0,0,
analyse,1,0,0,0,1,0,
analyze,2,0,0,0,1,0,
announce,1,0,0,0,1,0,
appear,2,0,0,1,0,0,
apply,6,0,0,1,0,0,
approach,2,0,0,1,0,0,
appropiate,2,1,0,0,0,0,
ask,1,0,0,0,1,0,
assemble,1,0,0,0,1,0,
assess,1,0,0,1,0,0,
assist,1,0,0,0,1,0,
associate,6,0,0,1,0,0,
assume,1,1,0,0,0,0,
attend,1,0,0,0,1,0,
attribute,1,0,0,1,0,0,
augment,1,1,0,0,0,0,
avail,1,1,0,0,0,0,
avoid,1,0,1,0,0,0,
balance,1,0,0,1,0,0,
be,5,0,0,1,0,0,
be adopt,1,0,0,0,1,0,
be affect,1,0,0,0,1,0,
be attribute,1,0,0,0,1,0,
be confront,1,0,0,0,1,0,
be designate,1,0,0,0,1,0,
be determine,1,0,0,1,0,0,
be develop,1,0,0,0,1,0,
be discuss,1,0,0,0,1,0,
be do,1,0,0,0,1,0,
be employ,1,0,0,0,1,0,
be expand,1,0,0,0,1,0,
be focus,1,0,0,0,1,0,
be gain,1,1,0,0,0,0,
be include,1,0,0,0,1,0,
be perceive,2,0,0,0,1,0,
be perform,1,0,0,0,1,0,
be place,1,0,0,0,1,0,
be promote,1,1,0,0,0,0,
be protect,1,1,0,0,0,0,
be relate,1,0,0,1,0,0,
be report,1,0,0,1,0,0,
be root,1,0,0,1,0,0,
be sell,1,0,0,0,1,0,
be support,1,1,0,0,0,0,
be use,1,0,0,0,1,0,
bear,5,0,0,1,0,0,
become,5,1,0,0,0,0,
believe,1,0,0,0,1,0,
belong,1,0,0,0,1,0,
benefit,1,1,0,0,0,0,
bond,1,0,0,0,1,0,
borrow,1,0,0,0,1,0,
bridge,8,0,0,1,0,0,
bring,1,1,0,0,0,0,
build,8,1,0,0,0,0,
buy,1,0,0,0,1,0,
calculate,1,0,0,0,1,0,
call,1,0,0,0,1,0,
can transfer,1,1,0,0,0,0,
capture,2,0,0,0,1,0,
carry,1,0,0,0,1,0,
categorize,1,0,0,1,0,0,
cater,1,0,0,0,1,0,
cause,2,0,0,0,1,0,
change,9,0,0,1,0,0,
characterise,1,0,0,1,0,0,
check,1,0,0,1,0,0,
choose,6,0,0,0,1,0,
classify,2,0,0,0,1,0,
combat,1,1,0,0,0,0,
combine,3,0,0,1,0,0,
compare,2,0,0,0,1,0,
compensate,1,1,0,0,0,0,
complement,1,0,0,0,1,0,
comprise,1,0,0,0,1,0,
concern,1,0,0,0,1,0,
concur,1,1,0,0,0,0,
connect,1,0,0,1,0,0,
consider,4,0,0,1,0,0,
consist,1,0,0,0,1,0,
constitute,1,1,0,0,0,0,
constrain,2,0,1,0,0,0,
construct,1,0,0,0,1,0,
contest,1,0,0,0,1,0,
contextualize,1,1,0,0,0,0,
contradict,1,0,0,0,1,0,
contribute,4,1,0,0,0,0,
control,1,0,0,1,0,0,
cope,19,0,0,0,1,0,
correlate,1,0,0,1,0,0,
correspond,2,0,0,0,1,0,
corroborate,2,1,0,0,0,0,
could have,1,0,0,0,1,0,
couple,1,1,0,0,0,0,
cover,1,0,0,0,1,0,
create,1,1,0,0,0,0,
curb,1,1,0,0,0,0,
damage,1,0,1,0,0,0,
deal,7,1,0,0,0,0,
decline,1,0,1,0,0,0,
decompose,1,0,1,0,0,0,
decrease,1,0,1,0,0,0,
deem,1,0,0,1,0,0,
define,1,0,0,0,1,0,
